table,producing_script,source,cadence,validation_target
trabajo_adolescente_tiempo,pipeline-archive (ARCHIVE_MAP.csv),ENAHO modulo 05 (empleo e ingreso),annual,informalidad vs serie oficial
transferencias_cobertura_2013_2025,pipeline/build_transferencias.py,ENAHO modulos 37+34 (trampa p710 como codigo),annual,reproducido valor por valor (13x5)
transicion_demografica_2004_2025,pipeline-archive (ARCHIVE_MAP.csv),"ENAHO multi-modulo (01-05, 34)",annual,
trust_by_institution_2025,pipeline-archive (ARCHIVE_MAP.csv),ENAHO modulos 84-85,annual,
trust_income_2025,pipeline-archive (ARCHIVE_MAP.csv),ENAHO modulos 84-85,annual,
trust_income_vote_dept_2021,pipeline-archive (ARCHIVE_MAP.csv),ENAHO modulos 84-85,annual,
trust_income_vote_dept_2026,pipeline-archive (ARCHIVE_MAP.csv),ENAHO modulos 84-85,annual,
trust_vote_dept_2021,pipeline-archive (ARCHIVE_MAP.csv),ENAHO modulos 84-85,annual,
trust_vote_dept_2026,pipeline-archive (ARCHIVE_MAP.csv),ENAHO modulos 84-85,annual,
validation_income_gasto,pipeline-archive (ARCHIVE_MAP.csv),ENAHO modulo 34 (sumaria) 2004-2025,annual,INEI pobreza monetaria y gasto real (0.0pp / +-0.5)
vivienda_servicios_2004_2025,pipeline-archive (ARCHIVE_MAP.csv),ENAHO modulos 01 y 04,annual,bitacora validacion.md (agua/luz/celular vs INEI)
voto_keiko_departamento,pipeline/static/ (frozen),ONPE 2V 2021 y 2026 (freeze 99.44%),frozen,totales nacionales ONPE
voto_keiko_distrito_2021_2026,pipeline/static/ (frozen),ONPE 2V 2021 y 2026 (freeze 99.44%),frozen,totales nacionales ONPE
who_trusts_state_2025,pipeline-archive (ARCHIVE_MAP.csv),ENAHO modulos 84-85,annual,
