prov,DEPARTAMEN,PROVINCIA,income_2021,income_2025,chg_pct,nhh_min
1202,JUNIN,CONCEPCION,1135.7528693103536,1094.0925550042637,-3.6680791598076015,73.0
1803,MOQUEGUA,ILO,1831.374674571064,1774.9393496058144,-3.08158269025246,333.0
0218,ANCASH,SANTA,1318.368945486547,1278.6030011454084,-3.016298622421143,448.0
0206,ANCASH,CARHUAZ,1015.6627352077066,985.0449712119116,-3.0145601423029134,38.0
2209,SAN MARTIN,SAN MARTIN,1595.94798854874,1560.8027644451683,-2.202153475911861,338.0
2111,PUNO,SAN ROMAN,971.9117919209536,952.7401603087408,-1.97256909233714,182.0
2403,TUMBES,ZARUMILLA,1009.3325356483904,991.6287271112,-1.7540114790630223,180.0
0102,AMAZONAS,BAGUA,952.108177795005,935.8834169096286,-1.7040879664484532,188.0
2008,PIURA,SECHURA,1079.0507009537507,1061.3563828734614,-1.6398041412372666,82.0
0906,HUANCAVELICA,HUAYTARA,827.4353798199076,814.3886125040542,-1.576771749679473,70.0
2001,PIURA,PIURA,1216.8732747297831,1202.4039301326568,-1.1890592798448396,658.0
1103,ICA,NASCA,1584.9268664704095,1573.2394077320853,-0.7374131252094851,138.0
0601,CAJAMARCA,CAJAMARCA,1114.0941880895732,1112.173523014906,-0.1723970105221184,334.0
0219,ANCASH,SIHUAS,1206.7269332469532,1208.5143067678343,0.1481174797409945,40.0
0105,AMAZONAS,LUYA,787.7857300075636,796.997595822065,1.1693364659465022,168.0
1701,MADRE DE DIOS,TAMBOPATA,1349.2426418047528,1365.6211702729174,1.2139053392395516,438.0
0501,AYACUCHO,HUAMANGA,1071.8967151843965,1085.7038912142227,1.2881069448422489,418.0
1510,LIMA,YAUYOS,689.1601096105235,699.732747741979,1.534133793296677,75.0
1401,LAMBAYEQUE,CHICLAYO,1292.0485235429485,1319.533482177658,2.127238887231786,925.0
2210,SAN MARTIN,TOCACHE,1267.790002436394,1296.1400705772728,2.236180131283305,98.0
1602,LORETO,ALTO AMAZONAS,906.9241601913826,930.6082937202284,2.611478949226353,197.0
