pk,hh,trust_share,edad,mujer,educ_anios,sis,ocupado,ipcr_0,factor07,pobre,juntos,pension65,transfer
0152210701101,01522107011,0.0,45.0,1.0,11.0,1.0,1.0,662.2707508953281,429.1026611328125,1.0,0.0,0.0,1.0
0152380121101,01523801211,0.3333333333333333,42.0,1.0,11.0,1.0,0.0,613.5367516111402,338.5641784667969,1.0,0.0,0.0,1.0
0152380591101,01523805911,0.0,58.0,1.0,11.0,0.0,1.0,1648.431957852379,338.5641784667969,0.0,0.0,0.0,0.0
0152450221101,01524502211,0.047619047619047616,61.0,0.0,14.0,0.0,1.0,4271.570124129114,338.5641784667969,0.0,0.0,0.0,0.0
0152450301101,01524503011,0.0,52.0,1.0,17.0,0.0,1.0,4526.271369111448,338.5641784667969,0.0,0.0,0.0,0.0
0152450451101,01524504511,0.0,51.0,1.0,14.0,0.0,1.0,746.0148513170886,338.5641784667969,0.0,0.0,0.0,0.0
0152790091101,01527900911,0.047619047619047616,87.0,0.0,6.0,1.0,0.0,694.8957629121106,223.21524047851562,0.0,0.0,1.0,1.0
0152790211101,01527902111,0.3333333333333333,48.0,0.0,9.0,1.0,1.0,475.71959385353296,223.21524047851562,1.0,0.0,0.0,1.0
0152790331101,01527903311,0.047619047619047616,76.0,0.0,6.0,1.0,1.0,1858.963427987529,223.21524047851562,0.0,0.0,1.0,1.0
0152790441101,01527904411,0.0,87.0,0.0,6.0,1.0,1.0,1200.3818544873272,223.21524047851562,1.0,0.0,1.0,1.0
0152790641101,01527906411,0.14285714285714285,49.0,1.0,11.0,1.0,1.0,660.8026338197898,223.21524047851562,1.0,1.0,0.0,1.0
0152810961101,01528109611,0.0,52.0,0.0,13.0,1.0,1.0,4841.156105041477,198.25868225097656,0.0,0.0,0.0,1.0
0152910101101,01529101011,0.047619047619047616,41.0,1.0,6.0,1.0,0.0,595.5088258566673,541.641357421875,0.0,1.0,0.0,1.0
0152910761101,01529107611,0.14285714285714285,54.0,0.0,6.0,1.0,1.0,477.2558579497227,541.641357421875,1.0,0.0,0.0,1.0
0153040181101,01530401811,0.14285714285714285,66.0,1.0,3.0,1.0,1.0,1530.3511892547292,541.641357421875,0.0,0.0,0.0,1.0
0153040641101,01530406411,0.23809523809523808,82.0,1.0,3.0,1.0,0.0,591.0463627893225,541.641357421875,0.0,0.0,1.0,1.0
0153040811101,01530408111,0.47619047619047616,32.0,1.0,11.0,0.0,1.0,1662.7707566601619,541.641357421875,0.0,0.0,0.0,0.0
0153230401101,01532304011,0.14285714285714285,28.0,1.0,11.0,1.0,1.0,2240.164083285604,223.21524047851562,0.0,1.0,0.0,1.0
0153230491101,01532304911,0.0,43.0,1.0,14.0,1.0,1.0,597.0673319154844,223.21524047851562,0.0,0.0,1.0,1.0
