ym,desempleo,desempleo_h,desempleo_m,desempleo_joven,desempleo_adulto,desempleo_mayor,ingreso,fuente,desempleo_total
201602,6.9,5.98,8.02,16.23,4.78,2.65,1636.0,micro_EPE,6.9
201603,7.22,6.12,8.57,15.67,5.51,2.87,1655.0,micro_EPE,7.22
201604,6.98,6.17,7.96,15.1,5.42,2.68,1651.0,micro_EPE,6.98
201605,7.11,6.12,8.29,15.53,5.66,2.43,1614.0,micro_EPE,7.11
201606,6.98,6.19,7.92,16.03,5.09,2.85,1633.0,micro_EPE,6.98
201607,7.1,6.62,7.68,17.27,4.97,2.61,1633.0,micro_EPE,7.1
201608,6.81,6.43,7.27,16.31,4.79,2.71,1653.0,micro_EPE,6.81
201609,6.51,6.2,6.88,15.45,4.75,2.19,1645.0,micro_EPE,6.51
201610,6.2,5.65,6.85,14.55,4.48,2.5,1697.0,micro_EPE,6.2
201611,5.84,5.44,6.3,14.29,3.97,2.46,1732.0,micro_EPE,5.84
201612,6.24,5.75,6.83,15.96,3.99,2.49,1715.0,micro_EPE,6.24
201701,7.2,6.54,7.98,17.77,4.52,3.05,1680.0,micro_EPE,7.2
201702,7.74,7.06,8.56,18.48,4.96,3.53,1652.0,micro_EPE,7.74
201703,7.73,7.06,8.55,18.58,4.95,3.43,1674.0,micro_EPE,7.73
201704,6.82,6.15,7.63,16.16,4.65,2.93,1642.0,micro_EPE,6.82
201705,6.6,5.97,7.36,16.06,4.52,2.77,1634.0,micro_EPE,6.6
201706,6.93,6.19,7.82,15.7,5.07,3.17,1636.0,micro_EPE,6.93
201707,7.06,6.12,8.18,15.99,5.2,3.22,1673.0,micro_EPE,7.06
201708,6.68,5.9,7.57,15.22,4.85,2.91,1681.0,micro_EPE,6.68
201709,6.43,5.48,7.52,14.59,4.75,2.92,1653.0,micro_EPE,6.43
201710,6.2,5.74,6.74,14.26,4.55,2.92,1660.0,micro_EPE,6.2
201711,6.56,6.04,7.17,14.9,5.07,2.95,1696.0,micro_EPE,6.56
201712,6.45,5.95,7.04,15.02,4.78,3.01,1708.0,micro_EPE,6.45
201801,7.3,6.76,7.93,18.5,4.65,3.25,1704.0,micro_EPE,7.3
201802,8.03,7.03,9.2,19.57,5.13,3.71,1675.0,micro_EPE,8.03
201803,8.06,7.13,9.16,19.39,5.5,3.41,1687.0,micro_EPE,8.06
201804,7.33,5.93,8.95,15.64,6.02,3.13,1680.0,micro_EPE,7.33
201805,6.64,5.44,8.02,13.87,5.73,2.88,1650.0,micro_EPE,6.64
201806,6.22,4.88,7.82,12.97,5.34,2.98,1652.0,micro_EPE,6.22
201807,6.17,4.88,7.69,13.5,5.02,2.93,1671.0,micro_EPE,6.17
201808,6.08,4.61,7.82,14.2,4.65,2.79,1721.0,micro_EPE,6.08
201809,6.18,5.09,7.46,14.54,4.63,3.03,1701.0,micro_EPE,6.18
201810,6.43,5.73,7.25,16.33,4.35,3.33,1705.0,micro_EPE,6.43
201811,6.25,6.01,6.52,14.79,4.41,3.63,1686.0,micro_EPE,6.25
201812,6.13,5.55,6.79,15.07,4.29,3.23,1702.0,micro_EPE,6.13
201901,6.48,5.81,7.25,14.78,4.98,3.24,1674.0,micro_EPE,6.48
201902,7.56,6.51,8.8,17.92,5.43,3.88,1692.0,micro_EPE,7.56
201903,8.16,6.76,9.81,18.97,6.03,4.07,1716.0,micro_EPE,8.16
201904,7.33,5.62,9.35,18.36,5.21,3.6,1736.0,micro_EPE,7.33
201905,6.71,5.35,8.28,17.22,5.14,2.82,1723.0,micro_EPE,6.71
201906,6.31,5.29,7.49,15.24,5.2,2.77,1702.0,micro_EPE,6.31
201907,6.0,5.48,6.61,13.13,5.31,2.88,1699.0,micro_EPE,6.0
201908,5.83,4.99,6.8,12.89,5.1,2.78,1717.0,micro_EPE,5.83
201909,5.75,4.79,6.85,14.21,4.6,2.56,1743.0,micro_EPE,5.75
201910,6.42,5.16,7.88,16.87,5.02,2.49,1761.0,micro_EPE,6.42
201911,6.33,5.17,7.66,16.34,4.97,2.59,1767.0,micro_EPE,6.33
201912,6.1,5.02,7.33,15.8,4.62,2.73,1782.0,micro_EPE,6.1
202001,6.34,4.92,7.97,15.96,4.66,2.92,1798.0,micro_EPE,6.34
202002,7.07,5.4,9.01,17.63,5.14,3.35,1803.0,micro_EPE,7.07
202003,7.77,6.57,9.2,17.76,6.25,3.63,1731.0,micro_EPE,7.77
202004,8.98,8.5,9.57,18.83,8.19,4.27,1671.0,micro_EPE,8.98
202005,13.12,13.72,12.39,24.35,13.09,6.54,1584.0,micro_EPE,13.12
202006,16.28,16.08,16.53,33.38,16.28,7.58,1532.0,micro_EPE,16.28
202007,16.37,16.26,16.52,32.6,15.23,9.36,1505.0,micro_EPE,16.37
202008,15.57,14.96,16.34,31.74,14.2,9.11,1550.0,micro_EPE,15.57
202009,16.53,16.0,17.22,32.61,14.47,11.3,1517.0,micro_EPE,16.53
202010,16.43,15.53,17.57,31.48,14.81,10.73,1498.0,micro_EPE,16.43
202011,15.13,13.86,16.71,27.54,13.22,10.74,1509.0,micro_EPE,15.13
202012,13.84,12.27,15.74,25.55,12.06,9.25,1557.0,micro_EPE,13.84
202101,13.01,11.13,15.29,24.51,11.1,8.76,1572.0,micro_EPE,13.01
202102,14.49,12.61,16.8,27.8,12.79,8.82,1534.0,micro_EPE,14.49
202103,15.28,13.15,17.94,29.0,13.74,9.22,1549.0,micro_EPE,15.28
202104,15.11,12.89,17.85,29.26,13.74,8.57,1554.0,micro_EPE,15.11
202105,12.03,9.99,14.49,24.97,10.24,7.18,1557.0,micro_EPE,12.03
