ubigeo,income_2021,pop_2021,nhh_2021,income_2025,pop_2025,nhh_2025,chg_pct,chg_soles
150111,1528.4891654250405,283286.3756713867,70.0,1130.656103712058,284992.1414489746,64.0,-26.027862723014692,-397.8330617129825
040801,1002.5594300758178,2856.69677734375,8.0,741.721689314461,8934.675048828125,12.0,-26.01718491058741,-260.8377407613568
040110,2267.4572610250652,67541.09307861328,49.0,1680.3372156054638,73377.11987304688,43.0,-25.893323570481673,-587.1200454196014
050405,905.7128110628805,3215.46875,8.0,671.5850795874563,5994.35563659668,8.0,-25.850107077614194,-234.12773147542418
100205,732.9454902804814,9074.314270019531,17.0,543.6928114646119,9446.922119140625,15.0,-25.820839520200455,-189.25267881586956
150504,915.221815539151,14468.423858642578,25.0,679.3769176284846,7342.090850830078,5.0,-25.76915168611138,-235.8448979106663
060301,1402.7948660885875,63152.5295715332,36.0,1043.6407180301057,46940.64404296875,30.0,-25.602756093619817,-359.1541480584817
030608,972.6548900928905,3737.623374938965,8.0,726.2375402299597,3551.8170166015625,8.0,-25.33450994518698,-246.4173498629308
160704,403.8622984127258,9653.019065856934,14.0,301.75807635320115,11908.658813476562,14.0,-25.281939527610863,-102.10422205952466
040517,1125.5058273029972,3625.6114654541016,8.0,841.4980947624091,3881.469451904297,8.0,-25.233786058766484,-284.0077325405881
021909,1044.9084863033936,9599.191925048828,16.0,781.3783103828787,10578.241729736328,16.0,-25.220407277274028,-263.5301759205149
030204,803.3982815830526,8907.469009399414,22.0,602.9889311527577,13699.267547607422,28.0,-24.945205264243185,-200.40935043029492
040513,1296.0377187947267,2285.357421875,8.0,975.800660683531,1293.8231506347656,4.0,-24.7089304167016,-320.2370581111958
010607,1626.9856116805556,2689.662628173828,15.0,1225.1874558226327,1856.1408233642578,15.0,-24.695864116640543,-401.7981558579229
100511,754.7117290362074,7118.18798828125,8.0,568.4449640389605,4454.05322265625,7.0,-24.68051811452777,-186.26676499724692
200803,1171.922784268916,37542.35452270508,18.0,882.7113995455038,17751.40396118164,11.0,-24.678365213611908,-289.21138472341227
020605,870.5974506092444,4716.832427978516,8.0,656.3840655065369,5418.937805175781,7.0,-24.605331080719452,-214.21338510270755
061101,1169.3577732068334,23671.207580566406,17.0,881.6572717657656,19229.093994140625,14.0,-24.60329148469944,-287.7005014410678
080910,1222.402214786616,32863.96633911133,19.0,924.0692591522195,29137.5906829834,20.0,-24.405465895402834,-298.3329556343965
140309,907.0072836133479,11175.08984375,7.0,690.1104308635586,10115.666046142578,6.0,-23.913463173714845,-216.89685274978933
050201,993.9693623893796,5364.893539428711,14.0,756.3710373195113,6240.658905029297,13.0,-23.90398880089335,-237.59832506986834
010514,692.5845385000358,3939.770683288574,16.0,527.4248195928385,2375.8415908813477,8.0,-23.846867743379285,-165.15971890719732
081202,905.1917775319918,25896.12109375,14.0,692.9065908349419,15017.435180664062,6.0,-23.45195702902274,-212.28518669704988
050510,528.4622006972735,2377.5241470336914,8.0,404.5562588032887,7227.839172363281,16.0,-23.446509841290165,-123.90594189398479
160505,374.3210089531222,9415.613662719727,14.0,286.9108522005226,4320.2764892578125,6.0,-23.3516566428005,-87.41015675259962
080912,1114.2062484048495,9510.057739257812,8.0,854.4447857845647,6099.694839477539,7.0,-23.313588753623627,-259.76146262028476
120210,1435.797065224965,12122.17626953125,14.0,1101.579895402092,7943.678894042969,13.0,-23.277465730890523,-334.2171698228731
050508,608.1553638814576,33916.186462402344,24.0,466.65716550707555,25083.35858154297,17.0,-23.26678457151009,-141.498198374382
061111,420.4427793779342,7274.7757568359375,8.0,322.6463841036095,8816.252075195312,8.0,-23.260334121808278,-97.79639527432471
210406,1119.1283435731693,23480.052642822266,14.0,859.2673872078088,37019.086975097656,26.0,-23.219942364757973,-259.8609563653605
030108,1191.8143431967126,3210.5821990966797,8.0,916.3810417225366,5584.135513305664,15.0,-23.110420095751017,-275.433301474176
211103,1505.153161209977,6363.0267333984375,5.0,1157.3520224444774,14322.603515625,4.0,-23.107358621623987,-347.8011387654997
130702,1455.3646444860146,65506.283142089844,41.0,1121.7515853974521,78102.1233215332,48.0,-22.92298774417344,-333.6130590885625
230108,1507.6617970912914,22960.805523872375,69.0,1163.9960830303096,18663.347474098206,65.0,-22.794615790093687,-343.6657140609818
090604,506.40869146538296,2848.5848693847656,8.0,391.21413055198457,3054.6589965820312,6.0,-22.747350678374534,-115.19456091339839
