ym,tasa_desempleo,fuente
201310,5.77,microdatos EPE (rep. INEI/BCRP 0.00pp)
201311,5.77,microdatos EPE (rep. INEI/BCRP 0.00pp)
201312,5.68,microdatos EPE (rep. INEI/BCRP 0.00pp)
201401,6.37,microdatos EPE (rep. INEI/BCRP 0.00pp)
201402,6.98,microdatos EPE (rep. INEI/BCRP 0.00pp)
201403,6.95,microdatos EPE (rep. INEI/BCRP 0.00pp)
201404,6.28,microdatos EPE (rep. INEI/BCRP 0.00pp)
201405,5.8,microdatos EPE (rep. INEI/BCRP 0.00pp)
201406,5.67,microdatos EPE (rep. INEI/BCRP 0.00pp)
201407,5.73,microdatos EPE (rep. INEI/BCRP 0.00pp)
201408,5.9,microdatos EPE (rep. INEI/BCRP 0.00pp)
201409,5.61,microdatos EPE (rep. INEI/BCRP 0.00pp)
201410,5.69,microdatos EPE (rep. INEI/BCRP 0.00pp)
201411,5.42,microdatos EPE (rep. INEI/BCRP 0.00pp)
201412,5.56,microdatos EPE (rep. INEI/BCRP 0.00pp)
201501,6.35,microdatos EPE (rep. INEI/BCRP 0.00pp)
201502,6.89,microdatos EPE (rep. INEI/BCRP 0.00pp)
201503,7.03,microdatos EPE (rep. INEI/BCRP 0.00pp)
201504,6.81,microdatos EPE (rep. INEI/BCRP 0.00pp)
201505,6.98,microdatos EPE (rep. INEI/BCRP 0.00pp)
201506,6.82,microdatos EPE (rep. INEI/BCRP 0.00pp)
201507,6.44,microdatos EPE (rep. INEI/BCRP 0.00pp)
201508,6.14,microdatos EPE (rep. INEI/BCRP 0.00pp)
201509,6.44,microdatos EPE (rep. INEI/BCRP 0.00pp)
201510,5.83,microdatos EPE (rep. INEI/BCRP 0.00pp)
201511,5.76,microdatos EPE (rep. INEI/BCRP 0.00pp)
201512,5.69,microdatos EPE (rep. INEI/BCRP 0.00pp)
201601,6.59,microdatos EPE (rep. INEI/BCRP 0.00pp)
201602,6.9,microdatos EPE (rep. INEI/BCRP 0.00pp)
201603,7.22,microdatos EPE (rep. INEI/BCRP 0.00pp)
201604,6.98,microdatos EPE (rep. INEI/BCRP 0.00pp)
201605,7.11,microdatos EPE (rep. INEI/BCRP 0.00pp)
201606,6.98,microdatos EPE (rep. INEI/BCRP 0.00pp)
201607,7.1,microdatos EPE (rep. INEI/BCRP 0.00pp)
201608,6.81,microdatos EPE (rep. INEI/BCRP 0.00pp)
201609,6.51,microdatos EPE (rep. INEI/BCRP 0.00pp)
201610,6.2,microdatos EPE (rep. INEI/BCRP 0.00pp)
201611,5.84,microdatos EPE (rep. INEI/BCRP 0.00pp)
201612,6.24,microdatos EPE (rep. INEI/BCRP 0.00pp)
201701,7.2,microdatos EPE (rep. INEI/BCRP 0.00pp)
201702,7.74,microdatos EPE (rep. INEI/BCRP 0.00pp)
201703,7.73,microdatos EPE (rep. INEI/BCRP 0.00pp)
201704,6.82,microdatos EPE (rep. INEI/BCRP 0.00pp)
201705,6.6,microdatos EPE (rep. INEI/BCRP 0.00pp)
201706,6.93,microdatos EPE (rep. INEI/BCRP 0.00pp)
201707,7.06,microdatos EPE (rep. INEI/BCRP 0.00pp)
201708,6.68,microdatos EPE (rep. INEI/BCRP 0.00pp)
201709,6.43,microdatos EPE (rep. INEI/BCRP 0.00pp)
201710,6.2,microdatos EPE (rep. INEI/BCRP 0.00pp)
201711,6.56,microdatos EPE (rep. INEI/BCRP 0.00pp)
201712,6.45,microdatos EPE (rep. INEI/BCRP 0.00pp)
201801,7.3,microdatos EPE (rep. INEI/BCRP 0.00pp)
201802,8.03,microdatos EPE (rep. INEI/BCRP 0.00pp)
201803,8.06,microdatos EPE (rep. INEI/BCRP 0.00pp)
201804,7.33,microdatos EPE (rep. INEI/BCRP 0.00pp)
201805,6.64,microdatos EPE (rep. INEI/BCRP 0.00pp)
201806,6.22,microdatos EPE (rep. INEI/BCRP 0.00pp)
201807,6.17,microdatos EPE (rep. INEI/BCRP 0.00pp)
201808,6.08,microdatos EPE (rep. INEI/BCRP 0.00pp)
201809,6.18,microdatos EPE (rep. INEI/BCRP 0.00pp)
201810,6.43,microdatos EPE (rep. INEI/BCRP 0.00pp)
201811,6.25,microdatos EPE (rep. INEI/BCRP 0.00pp)
201812,6.13,microdatos EPE (rep. INEI/BCRP 0.00pp)
201901,6.48,microdatos EPE (rep. INEI/BCRP 0.00pp)
201902,7.56,microdatos EPE (rep. INEI/BCRP 0.00pp)
201903,8.16,microdatos EPE (rep. INEI/BCRP 0.00pp)
201904,7.33,microdatos EPE (rep. INEI/BCRP 0.00pp)
201905,6.71,microdatos EPE (rep. INEI/BCRP 0.00pp)
201906,6.31,microdatos EPE (rep. INEI/BCRP 0.00pp)
201907,6.0,microdatos EPE (rep. INEI/BCRP 0.00pp)
201908,5.83,microdatos EPE (rep. INEI/BCRP 0.00pp)
201909,5.75,microdatos EPE (rep. INEI/BCRP 0.00pp)
201910,6.42,microdatos EPE (rep. INEI/BCRP 0.00pp)
201911,6.33,microdatos EPE (rep. INEI/BCRP 0.00pp)
201912,6.1,microdatos EPE (rep. INEI/BCRP 0.00pp)
202001,6.34,microdatos EPE (rep. INEI/BCRP 0.00pp)
202002,7.07,microdatos EPE (rep. INEI/BCRP 0.00pp)
202003,7.77,microdatos EPE (rep. INEI/BCRP 0.00pp)
202004,8.98,microdatos EPE (rep. INEI/BCRP 0.00pp)
202005,13.12,microdatos EPE (rep. INEI/BCRP 0.00pp)
202006,16.28,microdatos EPE (rep. INEI/BCRP 0.00pp)
202007,16.37,microdatos EPE (rep. INEI/BCRP 0.00pp)
202008,15.57,microdatos EPE (rep. INEI/BCRP 0.00pp)
202009,16.53,microdatos EPE (rep. INEI/BCRP 0.00pp)
202010,16.43,microdatos EPE (rep. INEI/BCRP 0.00pp)
202011,15.13,microdatos EPE (rep. INEI/BCRP 0.00pp)
202012,13.84,microdatos EPE (rep. INEI/BCRP 0.00pp)
202101,13.01,microdatos EPE (rep. INEI/BCRP 0.00pp)
202102,14.49,microdatos EPE (rep. INEI/BCRP 0.00pp)
202103,15.28,microdatos EPE (rep. INEI/BCRP 0.00pp)
202104,15.11,microdatos EPE (rep. INEI/BCRP 0.00pp)
202105,12.03,microdatos EPE (rep. INEI/BCRP 0.00pp)
202106,10.32,microdatos EPE (rep. INEI/BCRP 0.00pp)
202107,9.39,microdatos EPE (rep. INEI/BCRP 0.00pp)
202108,9.54,microdatos EPE (rep. INEI/BCRP 0.00pp)
202109,9.97,microdatos EPE (rep. INEI/BCRP 0.00pp)
202110,9.6,microdatos EPE (rep. INEI/BCRP 0.00pp)
202111,9.09,microdatos EPE (rep. INEI/BCRP 0.00pp)
202112,7.83,microdatos EPE (rep. INEI/BCRP 0.00pp)
202201,8.62,microdatos EPE (rep. INEI/BCRP 0.00pp)
202202,8.9,microdatos EPE (rep. INEI/BCRP 0.00pp)
202203,9.41,microdatos EPE (rep. INEI/BCRP 0.00pp)
202204,8.26,microdatos EPE (rep. INEI/BCRP 0.00pp)
202205,7.21,microdatos EPE (rep. INEI/BCRP 0.00pp)
202206,6.78,microdatos EPE (rep. INEI/BCRP 0.00pp)
202207,6.83,microdatos EPE (rep. INEI/BCRP 0.00pp)
202208,7.32,microdatos EPE (rep. INEI/BCRP 0.00pp)
202209,7.67,microdatos EPE (rep. INEI/BCRP 0.00pp)
202210,7.17,INEI/BCRP oficial (post-EPE)
202211,7.62,INEI/BCRP oficial (post-EPE)
202212,7.11,INEI/BCRP oficial (post-EPE)
202301,8.01,INEI/BCRP oficial (post-EPE)
202302,7.33,INEI/BCRP oficial (post-EPE)
202303,7.48,INEI/BCRP oficial (post-EPE)
202304,7.07,INEI/BCRP oficial (post-EPE)
202305,6.78,INEI/BCRP oficial (post-EPE)
202306,6.55,INEI/BCRP oficial (post-EPE)
202307,6.26,INEI/BCRP oficial (post-EPE)
202308,6.64,INEI/BCRP oficial (post-EPE)
202309,6.73,INEI/BCRP oficial (post-EPE)
202310,6.55,INEI/BCRP oficial (post-EPE)
202311,6.56,INEI/BCRP oficial (post-EPE)
202312,6.39,INEI/BCRP oficial (post-EPE)
202401,7.2,INEI/BCRP oficial (post-EPE)
202402,7.29,INEI/BCRP oficial (post-EPE)
202403,7.71,INEI/BCRP oficial (post-EPE)
202404,7.69,INEI/BCRP oficial (post-EPE)
202405,7.22,INEI/BCRP oficial (post-EPE)
202406,6.64,INEI/BCRP oficial (post-EPE)
202407,5.96,INEI/BCRP oficial (post-EPE)
202408,6.07,INEI/BCRP oficial (post-EPE)
202409,5.93,INEI/BCRP oficial (post-EPE)
202410,5.75,INEI/BCRP oficial (post-EPE)
202411,5.67,INEI/BCRP oficial (post-EPE)
202412,5.53,INEI/BCRP oficial (post-EPE)
202501,6.15,INEI/BCRP oficial (post-EPE)
202502,6.3,INEI/BCRP oficial (post-EPE)
202503,6.56,INEI/BCRP oficial (post-EPE)
202504,5.91,INEI/BCRP oficial (post-EPE)
202505,5.59,INEI/BCRP oficial (post-EPE)
202506,6.37,INEI/BCRP oficial (post-EPE)
202507,6.06,INEI/BCRP oficial (post-EPE)
202508,5.99,INEI/BCRP oficial (post-EPE)
202509,5.75,INEI/BCRP oficial (post-EPE)
202510,5.94,INEI/BCRP oficial (post-EPE)
202511,5.93,INEI/BCRP oficial (post-EPE)
202512,4.99,INEI/BCRP oficial (post-EPE)
202601,6.33,INEI/BCRP oficial (post-EPE)
202602,6.37,INEI/BCRP oficial (post-EPE)
202603,6.84,INEI/BCRP oficial (post-EPE)
202604,5.32,INEI/BCRP oficial (post-EPE)
202605,4.98,INEI/BCRP oficial (post-EPE)
