ym,tasa_desempleo,tasa_desempleo_h,tasa_desempleo_m,tasa_desempleo_joven,tasa_desempleo_adulto,tasa_desempleo_mayor,tasa_actividad,tasa_actividad_h,tasa_actividad_m,ing_nominal,fuente
200904,8.77,6.89,11.0,17.57,6.36,5.05,68.93,77.66,60.78,1050.0,EPE legacy
200905,8.46,6.23,11.08,16.63,6.56,4.48,68.74,77.0,61.03,1049.0,EPE legacy
200906,8.5,6.41,10.99,17.35,6.38,4.41,68.38,77.07,60.27,1055.0,EPE legacy
200907,8.2,6.22,10.58,15.94,6.21,5.01,67.77,76.51,59.61,1059.0,EPE legacy
200908,8.3,6.84,10.07,16.16,5.96,5.71,67.47,76.44,59.08,1073.0,EPE legacy
200909,7.83,6.44,9.51,14.88,5.57,5.87,67.2,76.15,58.83,1113.0,EPE legacy
200910,7.63,6.39,9.13,14.67,5.44,5.54,67.74,76.8,59.28,1112.0,EPE legacy
200911,7.22,5.69,9.07,14.97,5.07,4.32,68.47,77.45,60.09,1102.0,EPE legacy
200912,7.91,6.26,9.86,16.29,5.51,4.57,70.01,78.5,62.08,1100.0,EPE legacy
201001,8.61,6.92,10.63,17.67,5.97,4.62,70.82,79.91,62.33,1119.0,EPE legacy
201002,9.59,7.97,11.53,18.09,6.94,5.53,71.81,81.34,62.92,1114.0,EPE legacy
201003,9.18,7.59,11.1,17.32,6.8,5.03,71.6,81.09,62.72,1108.0,EPE legacy
201004,9.0,7.7,10.56,16.18,7.32,4.72,70.95,80.11,62.4,1092.0,EPE legacy
201005,7.74,6.58,9.11,14.24,6.31,4.05,70.17,79.07,61.85,1063.0,EPE legacy
201006,7.59,6.34,9.09,14.18,6.3,3.95,69.32,78.2,61.03,1070.0,EPE legacy
201007,7.04,5.71,8.62,13.8,5.42,3.99,68.98,77.32,61.19,1063.0,EPE legacy
201008,7.4,5.85,9.22,14.81,5.82,3.73,69.47,77.52,61.95,1085.0,EPE legacy
201009,7.64,6.26,9.26,15.84,5.72,3.8,69.65,77.92,61.92,1049.0,EPE legacy
201010,7.86,6.36,9.63,16.78,5.86,3.32,70.1,78.62,62.15,1084.0,EPE legacy
201011,7.59,5.85,9.66,16.02,5.77,3.07,69.71,78.47,61.53,1121.0,EPE legacy
201012,7.16,5.6,9.03,15.31,5.19,3.08,69.62,78.74,61.09,1124.0,EPE legacy
201101,7.68,5.9,9.86,17.46,5.04,3.28,69.27,78.87,60.29,1151.0,EPE legacy
201102,9.12,7.07,11.59,20.37,4.73,6.51,70.62,79.98,61.88,1152.0,EPE legacy
201103,9.39,7.38,11.83,20.29,5.48,5.96,71.23,81.04,62.07,1174.0,EPE legacy
201104,8.81,6.85,11.16,17.78,5.74,6.04,71.34,80.54,62.76,1161.0,EPE legacy
201105,7.35,6.04,8.95,14.37,5.99,3.3,69.82,79.34,60.92,1159.0,EPE legacy
201106,7.3,5.7,9.23,14.39,5.65,4.0,69.01,78.19,60.44,1192.0,EPE legacy
201107,6.97,5.39,8.87,13.65,5.13,4.4,69.24,78.3,60.77,1204.0,EPE legacy
201108,7.02,5.18,9.22,13.61,5.27,4.3,69.18,78.14,60.81,1231.0,EPE legacy
201109,7.31,5.36,9.63,14.18,5.51,4.35,69.72,78.6,61.43,1237.0,EPE legacy
201110,7.32,5.04,10.05,14.97,5.56,3.62,69.45,78.42,61.07,1276.0,EPE legacy
201111,7.05,4.71,9.83,14.76,4.99,4.01,69.25,77.95,61.13,1291.0,EPE legacy
201112,6.99,4.75,9.62,15.5,4.65,3.52,69.85,78.19,62.06,1285.0,EPE legacy
201201,7.75,5.87,9.97,15.73,5.69,4.05,69.81,78.06,62.1,1300.0,EPE legacy
201202,8.31,6.31,10.67,17.01,6.08,3.86,70.15,78.49,62.36,1302.0,EPE legacy
201203,8.66,6.84,10.81,16.63,6.63,4.77,69.87,78.41,61.89,1340.0,EPE legacy
201204,8.05,6.3,10.17,15.68,6.27,4.25,69.54,78.71,60.98,1318.0,EPE legacy
201205,7.22,5.92,8.79,13.9,5.68,4.03,69.29,78.44,60.75,1300.0,EPE legacy
201206,6.29,5.02,7.82,12.23,4.84,3.73,68.52,77.71,59.95,1300.0,EPE legacy
201207,6.21,4.95,7.72,12.38,4.62,3.57,69.12,78.16,60.67,1312.0,EPE legacy
201208,6.66,5.38,8.21,13.08,5.18,3.71,68.78,78.08,60.08,1344.0,EPE legacy
201209,6.6,5.23,8.26,13.01,5.24,3.35,69.13,78.24,60.63,1331.0,EPE legacy
201210,6.22,4.92,7.81,12.59,4.73,3.31,68.58,77.84,59.93,1329.0,EPE legacy
201211,5.91,4.72,7.35,12.67,4.12,3.19,69.12,78.13,60.71,1343.0,EPE legacy
201212,5.64,4.37,7.18,11.99,4.04,2.76,68.99,78.45,60.16,1342.0,EPE legacy
201301,6.13,4.85,7.69,13.55,4.16,2.91,68.63,78.0,59.87,1360.0,EPE legacy
201302,6.4,4.86,8.31,13.86,4.4,2.95,68.85,78.74,59.62,1356.0,EPE legacy
201303,6.39,5.03,8.04,14.01,4.28,3.05,69.02,78.27,60.39,1386.0,EPE legacy
201304,5.61,4.52,6.93,11.92,4.0,2.83,69.31,78.26,60.95,1386.0,EPE legacy
201305,5.67,4.38,7.21,11.85,4.39,2.43,68.86,77.78,60.53,1383.0,EPE legacy
201306,5.78,4.33,7.51,12.32,4.48,2.44,68.7,77.66,60.33,1376.0,EPE legacy
201307,6.03,4.79,7.53,13.19,4.64,2.23,69.18,78.4,60.57,1380.0,EPE legacy
201308,5.56,5.01,6.23,12.2,4.08,2.69,68.73,77.67,60.37,1408.0,EPE legacy
201309,5.94,5.57,6.39,13.26,4.31,2.75,68.87,77.84,60.5,1430.0,EPE legacy
201310,5.77,4.97,6.72,12.9,3.95,3.1,68.81,77.72,60.5,1435.0,EPE legacy
201311,5.77,4.67,7.07,13.64,3.77,2.86,69.04,77.63,61.02,1445.0,EPE legacy
201312,5.68,4.71,6.84,14.05,3.62,2.36,69.15,77.64,61.21,1434.0,EPE legacy
201401,6.37,5.45,7.46,15.09,4.13,3.01,68.63,77.14,60.68,1465.0,EPE legacy
201402,6.98,5.94,8.22,15.66,4.77,3.14,69.59,78.53,61.25,1451.0,EPE legacy
201403,6.95,5.85,8.28,14.52,4.92,3.73,69.6,79.1,60.74,1462.0,EPE legacy
201404,6.28,5.51,7.22,13.58,4.58,2.96,69.2,78.54,60.48,1449.0,EPE legacy
201405,5.8,5.0,6.77,12.77,4.36,2.73,68.08,77.37,59.41,1451.0,EPE legacy
201406,5.67,5.09,6.39,12.53,4.27,2.72,67.96,77.17,59.37,1475.0,EPE legacy
201407,5.73,5.02,6.61,13.7,4.06,2.46,67.94,77.26,59.24,1499.0,EPE legacy
201408,5.9,5.2,6.74,13.87,4.12,2.68,68.22,77.3,59.74,1520.0,EPE legacy
201409,5.61,4.51,6.93,14.18,3.72,2.25,67.61,76.4,59.4,1527.0,EPE legacy
201410,5.69,4.91,6.62,13.52,4.06,2.38,68.16,76.54,60.34,1543.0,EPE legacy
201411,5.42,4.8,6.16,13.52,3.67,2.05,68.4,76.72,60.64,1547.0,EPE legacy
201412,5.56,5.0,6.22,14.07,3.65,2.24,68.39,76.55,60.76,1551.0,EPE legacy
201501,6.35,5.37,7.52,15.29,4.49,2.11,67.98,76.46,60.07,1578.0,EPE legacy
201502,6.89,5.73,8.26,16.22,4.95,2.17,68.14,76.44,60.38,1594.0,EPE legacy
201503,7.03,5.69,8.6,15.36,5.51,2.24,68.46,76.74,60.73,1609.0,EPE legacy
201504,6.81,5.45,8.4,14.94,5.21,2.64,68.31,76.29,60.86,1572.0,EPE legacy
201505,6.98,5.57,8.64,15.57,5.4,2.68,68.0,76.4,60.15,1560.0,EPE legacy
201506,6.82,5.52,8.36,16.14,4.96,2.62,67.85,75.99,60.26,1537.0,EPE legacy
201507,6.44,5.12,8.01,15.08,4.62,2.74,67.97,76.65,59.86,1525.0,EPE legacy
201508,6.14,4.7,7.86,14.05,4.5,2.75,67.73,76.15,59.87,1541.0,EPE legacy
201509,6.44,5.26,7.85,14.5,4.92,2.63,67.7,76.38,59.59,1560.0,EPE legacy
201510,5.83,5.04,6.76,13.2,4.52,2.19,68.19,76.55,60.39,1579.0,EPE legacy
201511,5.76,5.17,6.46,13.04,4.53,1.91,68.87,77.24,61.06,1611.0,EPE legacy
201512,5.69,5.09,6.41,13.36,4.22,1.88,69.0,77.8,60.78,1602.0,EPE legacy
201601,6.59,5.58,7.81,15.68,4.72,2.2,68.63,77.88,59.99,1636.0,EPE legacy
201602,6.9,5.98,8.02,16.23,4.78,2.65,68.86,78.4,59.94,1636.0,EPE legacy
201603,7.22,6.12,8.57,15.67,5.51,2.87,68.99,78.48,60.13,1655.0,EPE legacy
201604,6.98,6.17,7.96,15.1,5.42,2.68,69.39,78.45,60.94,1651.0,EPE legacy
201605,7.11,6.12,8.29,15.53,5.66,2.43,68.73,77.76,60.3,1614.0,EPE legacy
201606,6.98,6.19,7.92,16.03,5.09,2.85,68.34,77.25,60.02,1633.0,EPE legacy
201607,7.1,6.62,7.68,17.27,4.97,2.61,68.03,77.13,59.52,1633.0,EPE legacy
201608,6.81,6.43,7.27,16.31,4.79,2.71,67.81,76.9,59.32,1653.0,EPE legacy
201609,6.51,6.2,6.88,15.45,4.75,2.19,67.52,76.52,59.12,1645.0,EPE legacy
201610,6.2,5.65,6.85,14.55,4.48,2.5,67.87,76.46,59.84,1697.0,EPE legacy
