ym,des_h,des_m,des_joven,des_adulto,des_mayor,ingreso,adecuado_mil,subempleo_mil,pea_ocup_mil
201003,7.59,11.1,17.32,6.8,5.04,1109.14,2259.4,2081.1,4340.5
201004,7.7,10.57,16.18,7.32,4.72,1093.09,2233.1,2083.0,4316.1
201005,6.58,9.11,14.24,6.32,4.05,1063.57,2263.9,2070.5,4334.4
201006,6.34,9.09,14.18,6.31,3.95,1070.1,2260.4,2035.1,4295.5
201007,5.71,8.62,13.8,5.42,3.99,1063.63,2350.6,1955.5,4306.1
201008,5.85,9.22,14.81,5.82,3.73,1085.2,2345.4,1980.8,4326.2
201009,6.26,9.26,15.84,5.72,3.8,1048.95,2363.8,1969.0,4332.8
201010,6.36,9.63,16.77,5.86,3.32,1083.98,2407.9,1949.4,4357.3
201011,5.86,9.66,16.02,5.77,3.07,1121.77,2449.8,1902.4,4352.2
201012,5.61,9.02,15.3,5.19,3.08,1125.29,2457.8,1915.2,4373.0
201101,5.9,9.86,17.46,5.04,3.28,1151.84,2431.3,1901.6,4332.9
201102,7.07,11.59,20.37,4.73,6.51,1152.88,2431.7,1923.6,4355.3
201103,7.38,11.83,20.3,5.48,5.96,1174.69,2451.0,1935.7,4386.7
201104,6.85,11.16,17.78,5.74,6.03,1161.31,2482.5,1945.8,4428.3
201105,6.04,8.95,14.37,5.99,3.29,1159.45,2491.7,1917.8,4409.5
201106,5.7,9.23,14.39,5.65,4.01,1192.81,2472.6,1894.8,4367.4
201107,5.39,8.87,13.66,5.13,4.4,1204.72,2522.4,1881.7,4404.1
201108,5.18,9.22,13.61,5.27,4.3,1232.02,2532.1,1872.7,4404.8
201109,5.36,9.63,14.18,5.5,4.35,1237.38,2580.3,1851.8,4432.1
201110,5.04,10.05,14.96,5.56,3.62,1276.61,2618.1,1802.9,4421.0
201111,4.71,9.83,14.76,4.99,4.01,1291.77,2655.6,1772.1,4427.7
201112,4.75,9.62,15.5,4.65,3.52,1285.59,2659.4,1815.9,4475.3
201201,5.87,9.97,15.73,5.69,4.05,1300.56,2633.3,1809.3,4442.6
201202,6.31,10.67,17.01,6.09,3.86,1302.42,2632.7,1811.0,4443.7
201203,6.84,10.82,16.63,6.63,4.77,1341.02,2685.9,1730.2,4416.1
201204,6.3,10.16,15.68,6.27,4.26,1319.35,2620.9,1810.2,4431.1
201205,5.92,8.79,13.9,5.68,4.03,1300.96,2591.5,1870.6,4462.1
