anio,origen,destino,personas,n
2018,Piura,Madre de Dios,5,1
2018,Arequipa,Loreto,3,1
2019,Lima,Junin,20946,63
2019,Junin,Lima,20634,32
2019,Loreto,Lima,19231,34
2019,Lima,La Libertad,18433,52
2019,Piura,Lima,18058,28
2019,San Martin,Lima,17707,25
2019,Ancash,Lima,15588,39
2019,Lima,San Martin,14892,78
2019,Lima,Piura,13535,67
2019,Lima,Ayacucho,12918,61
2019,Lima,Ancash,12895,60
2019,Lima,Lambayeque,12821,55
2019,Lambayeque,Lima,12664,22
2019,Puno,Arequipa,12207,47
2019,Lima,Loreto,11534,62
2019,Huanuco,Lima,11292,19
2019,Lima,Huanuco,11028,56
2019,Cajamarca,Lima,10512,18
2019,Cajamarca,La Libertad,10199,29
2019,Cusco,Lima,10154,13
2019,Lima,Arequipa,9096,38
2019,Lima,Ucayali,8858,73
2019,Ica,Lima,8546,13
2019,La Libertad,Lima,8361,14
2019,Lima,Cusco,8018,26
2019,Huancavelica,Lima,7699,10
2019,Pasco,Junin,7326,14
2019,Amazonas,Lima,6824,10
2019,Arequipa,Lima,6587,12
2019,Arequipa,Cusco,6534,16
2019,Cajamarca,Lambayeque,6410,28
2019,Loreto,San Martin,5875,45
2019,Lima,Cajamarca,5673,17
2019,Ayacucho,Lima,5130,7
2019,Lima,Amazonas,5119,55
2019,Cusco,Arequipa,5071,23
2019,Lima,Ica,4973,29
2019,Loreto,Ucayali,4883,40
2019,Apurimac,Lima,4816,7
2019,Cusco,Madre de Dios,4671,65
2019,Arequipa,Puno,4658,11
2019,Lima,Apurimac,4643,31
2019,Ucayali,Lima,4384,8
2019,Lambayeque,Amazonas,4292,33
2019,Junin,Pasco,4134,32
2019,Lima,Pasco,4086,29
2019,Cusco,Apurimac,4012,16
2019,San Martin,Loreto,3991,24
2019,Puno,Tacna,3922,39
2019,Lima,Puno,3782,9
2019,Moquegua,Arequipa,3645,9
2019,Amazonas,San Martin,3519,23
2019,Madre de Dios,Cusco,3456,9
2019,Moquegua,Lima,3362,7
2019,Cusco,Puno,3335,14
2019,Piura,Lambayeque,3126,13
2019,Apurimac,Arequipa,3047,6
2019,Puno,Lima,3002,3
2019,La Libertad,San Martin,2965,15
2019,Lambayeque,Piura,2850,14
2019,San Martin,Lambayeque,2778,10
2019,Ica,Ayacucho,2774,11
2019,Amazonas,Cajamarca,2716,9
2019,Huancavelica,Junin,2635,15
2019,La Libertad,Piura,2461,5
2019,Lambayeque,Loreto,2443,11
2019,Tacna,Lima,2402,5
2019,Pasco,Lima,2397,2
2019,Lambayeque,San Martin,2350,12
2019,Cusco,Ayacucho,2318,11
2019,San Martin,La Libertad,2241,7
2019,Madre de Dios,Puno,2201,5
2019,Ucayali,Junin,2171,11
2019,Huanuco,Ucayali,2169,18
2019,Tumbes,Piura,2152,9
2019,Ucayali,Loreto,2133,13
2019,San Martin,Amazonas,2052,20
2019,La Libertad,Ica,2043,5
2019,Ucayali,Huanuco,1948,11
2019,Huanuco,San Martin,1929,13
2019,La Libertad,Cajamarca,1928,6
2019,Arequipa,Tacna,1819,28
2019,Apurimac,Cusco,1774,4
