prov,income_2021,pop_2021,nhh_2021,income_2025,pop_2025,nhh_2025,chg_pct,chg_soles
1403,1067.740513453356,329107.34375,353.0,994.4976473990663,366490.4030609131,363.0,-6.8596129051432975,-73.24286605428972
0805,602.5903969691174,43840.609375,46.0,564.2596627214912,57726.068450927734,52.0,-6.36099321204261,-38.3307342476262
0217,1134.788103647576,10708.587890625,22.0,1075.4927521834907,8721.101867675781,15.0,-5.22523555485741,-59.29535146408534
1309,909.9369916615549,105384.078125,102.0,863.7838583862421,158055.40936279297,113.0,-5.072124080925288,-46.153133275312825
1702,1150.0603937549158,22423.46484375,84.0,1091.7984617737736,24611.176824569702,105.0,-5.0659889078449645,-58.2619319811422
0510,804.4623012446757,38099.5546875,71.0,767.2083467340868,34279.32276916504,75.0,-4.6309136491478835,-37.25395451058887
0507,1000.63657081745,32946.73046875,50.0,954.5939773081192,28965.446701049805,47.0,-4.60133027835643,-46.0425935093308
0403,1398.42820569862,45880.171875,81.0,1344.1861098284376,33938.96736907959,83.0,-3.8787901766529798,-54.24209587018254
1603,451.40315638121575,83675.8203125,74.0,434.024095611438,99153.28350830078,100.0,-3.8500086949106116,-17.379060769777766
1204,1074.8589162015132,172573.140625,154.0,1034.0007326748062,130775.81394958496,167.0,-3.8012601385024047,-40.85818352670708
1202,1135.7528693103536,69435.65625,78.0,1094.0925550042637,76577.81924438477,73.0,-3.6680791598076024,-41.66031430608996
1803,1831.3746745710637,64596.28515625,343.0,1774.9393496058144,75225.86684322357,333.0,-3.08158269025246,-56.435324965249265
0218,1318.3689454865473,462761.125,473.0,1278.6030011454084,479052.9679708481,448.0,-3.016298622421143,-39.76594434113895
0206,1015.6627352077066,28410.205078125,38.0,985.0449712119115,44599.818359375,51.0,-3.0145601423029134,-30.617763995795144
2209,1595.9479885487399,147852.21875,338.0,1560.8027644451683,181183.68157196045,362.0,-2.202153475911861,-35.145224103571536
2111,971.9117919209536,317709.625,191.0,952.7401603087409,373500.5170907974,182.0,-1.9725690923371397,-19.171631612212764
2403,1009.3325356483905,66565.078125,180.0,991.6287271111999,78707.04356050491,199.0,-1.7540114790630223,-17.70380853719064
0102,952.108177795005,91705.234375,222.0,935.8834169096286,87871.02954864502,188.0,-1.7040879664484532,-16.224760885376327
2008,1079.0507009537507,185110.546875,92.0,1061.3563828734614,148463.38050842285,82.0,-1.6398041412372666,-17.69431808028935
0906,827.4353798199076,41705.95703125,97.0,814.3886125040542,29086.678512573242,70.0,-1.576771749679473,-13.046767315853344
2001,1216.8732747297831,728638.625,658.0,1202.4039301326568,800157.7733268738,660.0,-1.1890592798448396,-14.469344597126337
1103,1584.9268664704095,72786.4609375,142.0,1573.2394077320853,89879.09008598328,138.0,-0.7374131252094851,-11.687458738324267
0601,1114.0941880895732,325155.3125,337.0,1112.173523014906,364552.24134254456,334.0,-0.17239701052211842,-1.920665074667113
0219,1206.7269332469532,32992.68359375,44.0,1208.5143067678343,38533.84796142578,40.0,0.14811747974099454,1.7873735208811468
0105,787.7857300075636,73160.5859375,223.0,796.997595822065,50735.286796569824,168.0,1.1693364659465022,9.21186581450138
1701,1349.2426418047528,118558.28125,461.0,1365.6211702729174,131623.5463490486,438.0,1.2139053392395516,16.37852846816463
0501,1071.8967151843965,295613.65625,431.0,1085.7038912142227,322050.6632652283,418.0,1.2881069448422489,13.807176029826223
1510,689.1601096105235,22737.390625,75.0,699.732747741979,24848.595878601074,80.0,1.534133793296677,10.572638131455506
1401,1292.0485235429483,896553.6875,978.0,1319.533482177658,893836.9925546646,925.0,2.127238887231786,27.484958634709756
2210,1267.790002436394,58389.59765625,114.0,1296.1400705772728,73085.89895629883,98.0,2.236180131283305,28.350068140878875
1602,906.9241601913826,180083.421875,211.0,930.6082937202284,168631.11406815052,197.0,2.6114789492263535,23.68413352884579
0904,859.8108180816002,28290.763671875,60.0,883.1446416062169,25332.7840423584,62.0,2.7138322796029346,23.333823524616605
1102,1396.328731689532,213910.515625,321.0,1441.3575218586177,216395.50235033035,331.0,3.2247986557292663,45.028790169085596
1101,1449.5232795397742,369829.375,782.0,1501.7278251251557,401037.67938661575,775.0,3.6014975628371193,52.20454558538154
2201,1126.479451253928,133743.421875,228.0,1171.7085293180523,182351.7250137329,261.0,4.0150823890998,45.22907806412445
2501,946.0699398507774,373757.03125,797.0,985.8899806997158,386446.94407081604,758.0,4.208995463402965,39.82004084893845
1105,1348.0367049039178,159071.015625,254.0,1405.1559916133137,144806.2794160843,224.0,4.237220433361055,57.119286709395965
0302,1001.3897481271737,167058.125,324.0,1045.5049493510444,171237.49179840088,306.0,4.405397729143545,44.11520122387071
2003,757.0429760808594,122734.8125,135.0,792.603616421265,111871.13652038574,121.0,4.697308008126533,35.5606403404056
2107,688.2146954500049,61407.25390625,73.0,720.9926100517374,41338.77404785156,40.0,4.7627455238077765,32.777914601732505
0701,1150.026655701663,1106662.0,982.0,1207.415818896655,1163713.1304016113,1013.0,4.990246348679395,57.38916319499208
1010,846.4517021805917,29005.078125,36.0,891.1641495480058,55139.402404785156,50.0,5.282338880319792,44.71244736741403
1503,792.9697315062477,12272.88671875,29.0,835.6879152265244,9839.228134155273,31.0,5.387114037648488,42.71818372027667
2202,991.1740508920955,67275.7265625,89.0,1046.4748669784165,81921.23303222656,92.0,5.579324442215583,55.30081608632099
0305,963.3727147694299,59525.04296875,108.0,1022.1812839128258,56249.17050933838,95.0,6.104446206728098,58.80856914339597
0211,1156.9975755663136,34889.953125,40.0,1227.9278341018435,51968.08911895752,50.0,6.1305451310744274,70.9302585355299
1902,757.3334852976624,61159.8671875,152.0,805.011896894448,66660.13098144531,141.0,6.295563648297708,47.67841159678562
1501,1367.0435842065076,9834170.0,3041.0,1453.9114099710496,10469751.337402344,3116.0,6.354429863694788,86.86782576454198
0202,970.2530753643241,18630.98046875,31.0,1032.257795548953,14722.270050048828,24.0,6.390571878511864,62.00472018462892
2108,955.6348091961756,90415.765625,52.0,1019.1923016006691,135679.71932983398,74.0,6.650813866643723,63.55749240449347
1801,1945.8016239467313,93485.796875,481.0,2081.0643667300437,95358.7950797081,459.0,6.951517622282322,135.26274278331243
0101,1528.6501304145404,66523.796875,223.0,1638.7869398543428,81619.45904541016,240.0,7.20484087552038,110.13680943980239
2105,773.9379311392568,107009.3125,104.0,833.7082492323302,98607.89511108398,82.0,7.722882635444672,59.770318093073456
1205,977.095623293682,51515.703125,48.0,1054.527030973219,37851.693130493164,38.0,7.92464993533839,77.43140767953707
0207,915.3398330325049,35087.07421875,44.0,989.128160883173,27310.330322265625,35.0,8.061304139491954,73.78832785066811
1301,1409.3955757002457,1039036.9375,763.0,1525.0058180475335,1083163.8633861542,796.0,8.202824270244214,115.6102423472878
1903,842.2138791238941,80932.1875,266.0,912.0666982680013,78883.13195800781,276.0,8.293952507262304,69.85281914410723
1802,1131.7731439646557,31932.244140625,158.0,1225.6698435968578,29637.89793395996,157.0,8.296424078705167,93.89669963220217
2503,792.6896875550188,100210.3359375,218.0,860.4864800312477,104695.48333740234,203.0,8.55275318206068,67.7967924762288
2208,984.9276131213887,190664.71875,199.0,1074.0605928292684,145635.08793640137,165.0,9.049698528138883,89.13297970787971
0107,1052.9986633732613,107837.953125,308.0,1148.6929731850605,126426.53311157227,298.0,9.08779024516939,95.69430981179926
2302,1033.0920439589056,12717.291015625,51.0,1134.1015578521556,6971.620338439941,28.0,9.77739732717058,101.00951389324996
1601,952.3416027671989,502369.8125,739.0,1047.1270820912187,560130.372138977,728.0,9.952886553375762,94.78547932401978
1003,982.3672087250164,41613.6328125,42.0,1085.3932603028516,66383.85137939453,62.0,10.487529577819421,103.02605157783512
0505,757.6996135008712,103977.9296875,136.0,838.9623831804472,104429.77688598633,135.0,10.724932180460002,81.26276967957597
2402,990.1767689622617,28782.177734375,126.0,1098.7322816172432,23887.57329273224,99.0,10.963245761537245,108.5555126549815
0801,1399.757790931277,336064.875,342.0,1559.0955103155152,352939.83632850647,307.0,11.383235043702001,159.3377193842382
0907,677.305360639817,139672.5625,247.0,754.5834225068401,125081.12426757812,238.0,11.409633875335402,77.2780618670231
2005,1116.5007434342003,150209.9375,100.0,1248.2069824081448,156455.01427459717,113.0,11.796341359239438,131.70623897394444
1007,796.1358612941748,67640.9140625,66.0,891.8266324255544,49889.36422729492,46.0,12.019402187941575,95.69077113137962
1508,1157.371723518152,219526.203125,332.0,1303.0959737394483,253439.079372406,334.0,12.590963409605948,145.7242502212962
2301,1171.3850533904888,336739.53125,1170.0,1320.931104345176,347867.5978856087,1077.0,12.766600574408638,149.5460509546872
2004,940.85466483761,179615.859375,136.0,1063.4967487117133,198685.00202941895,163.0,13.035178381697365,122.64208387410326
0208,857.0142986838179,85698.953125,84.0,969.0633439576263,77336.9667892456,78.0,13.07434956988358,112.04904527380847
0802,797.1951966470588,52411.109375,26.0,902.4272983661987,62909.81497192383,39.0,13.200292997466367,105.2321017191399
