UBIGEO,DEPARTAMEN,PROVINCIA,DISTRITO,left21,left26
021801,ANCASH,SANTA,CHIMBOTE,48.08637597515346,48.92555390951861
021802,ANCASH,SANTA,CACERES DEL PERU,61.568627450980394,60.17605633802817
021803,ANCASH,SANTA,COISHCO,49.1672293495386,49.06655416095349
021804,ANCASH,SANTA,MACATE,51.99344620425997,50.655270655270655
021805,ANCASH,SANTA,MORO,38.80686352753392,38.23200298396121
021806,ANCASH,SANTA,NEPEÑA,65.74336511208452,64.28038777032066
021807,ANCASH,SANTA,SAMANCO,45.51997121266643,46.07382550335571
021808,ANCASH,SANTA,SANTA,54.03785118138004,52.89491298527443
021809,ANCASH,SANTA,NUEVO CHIMBOTE,47.49947987100801,49.64718090626081
021901,ANCASH,SIHUAS,SIHUAS,65.27472527472527,62.11055276381909
021902,ANCASH,SIHUAS,ACOBAMBA,75.75757575757575,78.93961708394698
021903,ANCASH,SIHUAS,ALFONSO UGARTE,87.33624454148472,79.41176470588235
021904,ANCASH,SIHUAS,CASHAPAMPA,66.01529311809685,67.37530662305805
021905,ANCASH,SIHUAS,CHINGALPO,69.69026548672566,66.52267818574514
021906,ANCASH,SIHUAS,HUAYLLABAMBA,78.82136279926335,77.79310344827586
021907,ANCASH,SIHUAS,QUICHES,75.29527559055119,70.75773745997866
021908,ANCASH,SIHUAS,RAGASH,78.18840579710145,76.8958185683912
021909,ANCASH,SIHUAS,SAN JUAN,77.25385527876631,68.99151743638078
021910,ANCASH,SIHUAS,SICSIBAMBA,69.04458598726114,64.30446194225722
022001,ANCASH,YUNGAY,YUNGAY,67.48498763687743,61.939342161469455
022002,ANCASH,YUNGAY,CASCAPARA,48.31013916500994,49.478079331941544
022003,ANCASH,YUNGAY,MANCOS,69.60317460317461,66.28656420426375
022004,ANCASH,YUNGAY,MATACOTO,56.798457087753135,55.79322638146168
022005,ANCASH,YUNGAY,QUILLO,67.71175311884438,70.56576314353283
022006,ANCASH,YUNGAY,RANRAHIRCA,70.69436850738109,66.13131790269249
022007,ANCASH,YUNGAY,SHUPLUY,64.61267605633803,63.88415672913118
022008,ANCASH,YUNGAY,YANAMA,78.86266094420601,68.8610662358643
030101,APURIMAC,ABANCAY,ABANCAY,74.37159584073632,70.49814262225199
030102,APURIMAC,ABANCAY,CHACOCHE,76.23626373626374,80.1909307875895
030103,APURIMAC,ABANCAY,CIRCA,85.9541130386122,85.35749265426053
030104,APURIMAC,ABANCAY,CURAHUASI,68.6348664145419,68.96978446942353
030105,APURIMAC,ABANCAY,HUANIPACA,72.87784679089027,73.62467866323908
030106,APURIMAC,ABANCAY,LAMBRAMA,86.38670973696354,86.36196092886104
030107,APURIMAC,ABANCAY,PICHIRHUA,76.05932203389831,78.43575418994413
030108,APURIMAC,ABANCAY,SAN PEDRO DE CACHORA,65.38214515093128,71.40266021765417
030109,APURIMAC,ABANCAY,TAMBURCO,75.07218479307026,71.34059687351966
030201,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,80.467294185102,78.9363821813179
030202,APURIMAC,ANDAHUAYLAS,ANDARAPA,85.99105812220566,88.09135399673735
030203,APURIMAC,ANDAHUAYLAS,CHIARA,86.7175572519084,87.36559139784946
030204,APURIMAC,ANDAHUAYLAS,HUANCARAMA,82.62535931012457,84.69664956233021
030205,APURIMAC,ANDAHUAYLAS,HUANCARAY,80.97799511002445,84.60833715071003
030206,APURIMAC,ANDAHUAYLAS,HUAYANA,81.1138014527845,83.57142857142857
030207,APURIMAC,ANDAHUAYLAS,KISHUARA,89.85507246376811,92.451934488488
030208,APURIMAC,ANDAHUAYLAS,PACOBAMBA,85.19223448800913,85.98303209147916
030209,APURIMAC,ANDAHUAYLAS,PACUCHA,88.40439899672005,88.92247510668564
030210,APURIMAC,ANDAHUAYLAS,PAMPACHIRI,74.32558139534883,73.5042735042735
030211,APURIMAC,ANDAHUAYLAS,POMACOCHA,79.05982905982906,82.11382113821138
030212,APURIMAC,ANDAHUAYLAS,SAN ANTONIO DE CACHI,86.02890571231934,86.62116040955631
030213,APURIMAC,ANDAHUAYLAS,SAN JERONIMO,86.14115978010285,85.92018662001166
030214,APURIMAC,ANDAHUAYLAS,SAN MIGUEL DE CHACCRAMPA,82.46013667425969,87.84119106699752
030215,APURIMAC,ANDAHUAYLAS,SANTA MARIA DE CHICMO,72.41379310344827,83.5993078254182
030216,APURIMAC,ANDAHUAYLAS,TALAVERA,77.7931443248049,75.87953332730397
030217,APURIMAC,ANDAHUAYLAS,TUMAY HUARACA,82.38916256157636,83.33333333333333
030218,APURIMAC,ANDAHUAYLAS,TURPO,87.92947558770344,89.5096463022508
030219,APURIMAC,ANDAHUAYLAS,KAQUIABAMBA,89.89405052974735,91.41449683321605
030220,APURIMAC,ANDAHUAYLAS,JOSE MARIA ARGUEDAS,94.98549523414836,95.49694435509811
030301,APURIMAC,ANTABAMBA,ANTABAMBA,85.57692307692308,86.53846153846153
030302,APURIMAC,ANTABAMBA,EL ORO,78.1456953642384,90.23746701846966
030303,APURIMAC,ANTABAMBA,HUAQUIRCA,82.15077605321508,83.51920693928129
030304,APURIMAC,ANTABAMBA,JUAN ESPINOZA MEDRANO,81.59831756046268,79.6688132474701
030305,APURIMAC,ANTABAMBA,OROPESA,84.39581351094196,79.39001848428836
030306,APURIMAC,ANTABAMBA,PACHACONAS,89.81937602627258,87.85046728971963
030307,APURIMAC,ANTABAMBA,SABAINO,84.16149068322981,86.27187079407807
030401,APURIMAC,AYMARAES,CHALHUANCA,77.24209434940384,77.06747843734145
030402,APURIMAC,AYMARAES,CAPAYA,67.63754045307444,68.38235294117646
030403,APURIMAC,AYMARAES,CARAYBAMBA,90.5688622754491,89.26974664679582
030404,APURIMAC,AYMARAES,CHAPIMARCA,82.7977315689981,85.53719008264463
030405,APURIMAC,AYMARAES,COLCABAMBA,70.47413793103448,70.01934235976789
030406,APURIMAC,AYMARAES,COTARUSE,87.2852233676976,86.83446272991287
030407,APURIMAC,AYMARAES,IHUAYLLO,76.89969604863222,73.23232323232324
030408,APURIMAC,AYMARAES,JUSTO APU SAHUARAURA,79.84886649874055,82.09255533199195
030409,APURIMAC,AYMARAES,LUCRE,80.9278350515464,79.13385826771653
030410,APURIMAC,AYMARAES,POCOHUANCA,87.03170028818444,84.57008244994111
030411,APURIMAC,AYMARAES,SAN JUAN DE CHACÑA,76.04651162790698,73.7864077669903
030412,APURIMAC,AYMARAES,SAÑAYCA,81.4878892733564,77.98295454545455
030413,APURIMAC,AYMARAES,SORAYA,72.14854111405836,73.36683417085428
030414,APURIMAC,AYMARAES,TAPAIRIHUA,77.37896494156928,82.56756756756756
030415,APURIMAC,AYMARAES,TINTAY,74.78376580172987,79.35860058309038
030416,APURIMAC,AYMARAES,TORAYA,75.14124293785311,75.12953367875647
030417,APURIMAC,AYMARAES,YANACA,86.15107913669065,84.64
030501,APURIMAC,COTABAMBAS,TAMBOBAMBA,91.27883447996763,87.37044145873321
030502,APURIMAC,COTABAMBAS,COTABAMBAS,89.24731182795699,85.85526315789474
030503,APURIMAC,COTABAMBAS,COYLLURQUI,88.44286176756232,91.07246376811594
030504,APURIMAC,COTABAMBAS,HAQUIRA,95.9852330410706,93.40192350704541
030505,APURIMAC,COTABAMBAS,MARA,87.3741285824942,86.10492845786963
030506,APURIMAC,COTABAMBAS,CHALLHUAHUACHO,91.2194196851887,87.14161598609904
030601,APURIMAC,CHINCHEROS,CHINCHEROS,85.3167337971439,84.77206595538313
030602,APURIMAC,CHINCHEROS,ANCO-HUALLO,86.19390202124015,84.88446726572529
030603,APURIMAC,CHINCHEROS,COCHARCAS,77.64471057884232,78.47222222222223
030604,APURIMAC,CHINCHEROS,HUACCANA,86.80232558139535,87.29881035689293
030605,APURIMAC,CHINCHEROS,OCOBAMBA,72.46290801186943,76.02985899917059
030606,APURIMAC,CHINCHEROS,ONGOY,78.58861267040898,74.16798732171156
030607,APURIMAC,CHINCHEROS,URANMARCA,78.73399715504979,81.95224719101124
030608,APURIMAC,CHINCHEROS,RANRACANCHA,93.6923076923077,91.21318022965552
030609,APURIMAC,CHINCHEROS,ROCCHACC,87.81763826606876,89.9055489964581
030610,APURIMAC,CHINCHEROS,EL PORVENIR,71.35678391959799,85.01664816870144
030611,APURIMAC,CHINCHEROS,LOS CHANKAS,92.63502454991817,92.01030927835052
030612,APURIMAC,CHINCHEROS,AHUAYRO,,77.3972602739726
030701,APURIMAC,GRAU,CHUQUIBAMBILLA,90.35343035343035,89.45620589456206
030702,APURIMAC,GRAU,CURPAHUASI,88.35555555555555,89.87234042553192
030703,APURIMAC,GRAU,GAMARRA,,82.421875
030704,APURIMAC,GRAU,HUAYLLATI,89.17808219178082,87.93103448275862
030705,APURIMAC,GRAU,MAMARA,84.02777777777777,84.94623655913979
030706,APURIMAC,GRAU,MICAELA BASTIDAS,92.71653543307086,90.03831417624521
030707,APURIMAC,GRAU,PATAYPAMPA,87.75100401606426,89.72868217054264
