year,rev,pond,sector,n,peso,share
2017,4,True,Aloj./Restaurantes,1906,9043,9.33
2017,4,True,Comercio,2947,37917,39.11
2017,4,True,Construccion,780,7962,8.21
2017,4,True,Electricidad/Agua,165,519,0.54
2017,4,True,Manufactura,3836,13429,13.85
2017,4,True,Otros servicios,2290,17107,17.65
2017,4,True,Transp./Comunic.,1144,10966,11.31
2018,4,True,Aloj./Restaurantes,2003,8030,8.95
2018,4,True,Comercio,2973,33542,37.37
2018,4,True,Construccion,703,6327,7.05
2018,4,True,Electricidad/Agua,166,374,0.42
2018,4,True,Manufactura,3490,12125,13.51
2018,4,True,Otros servicios,2461,18624,20.75
2018,4,True,Transp./Comunic.,1011,10725,11.95
2019,4,True,Aloj./Restaurantes,1643,10087,9.17
2019,4,True,Comercio,1988,41898,38.1
2019,4,True,Construccion,478,8158,7.42
2019,4,True,Electricidad/Agua,215,465,0.42
2019,4,True,Manufactura,3806,14192,12.91
2019,4,True,Otros servicios,2795,22979,20.9
2019,4,True,Transp./Comunic.,1238,12184,11.08
2020,4,True,Aloj./Restaurantes,1455,6507,6.27
2020,4,True,Comercio,5579,44527,42.94
2020,4,True,Construccion,980,8156,7.86
2020,4,True,Electricidad/Agua,160,206,0.2
2020,4,True,Manufactura,3232,12793,12.34
2020,4,True,Otros servicios,2142,18798,18.13
2020,4,True,Transp./Comunic.,1296,12714,12.26
2021,4,False,Aloj./Restaurantes,1552,1552,11.98
2021,4,False,Comercio,2897,2897,22.36
2021,4,False,Construccion,843,843,6.51
2021,4,False,Electricidad/Agua,223,223,1.72
2021,4,False,Manufactura,3694,3694,28.51
2021,4,False,Otros servicios,2526,2526,19.5
2021,4,False,Transp./Comunic.,1220,1220,9.42
2022,4,True,Aloj./Restaurantes,377,1595,2.22
2022,4,True,Comercio,7050,33035,45.99
2022,4,True,Construccion,1303,6033,8.4
2022,4,True,Electricidad/Agua,213,387,0.54
2022,4,True,Manufactura,2594,9063,12.62
2022,4,True,Otros servicios,3541,13070,18.2
2022,4,True,Transp./Comunic.,1694,8646,12.04
2023,4,True,Agro/Pesca,138,1038,1.01
2023,4,True,Aloj./Restaurantes,1236,4889,4.77
2023,4,True,Comercio,2333,43475,42.41
2023,4,True,Construccion,418,7373,7.19
2023,4,True,Electricidad/Agua,270,551,0.54
2023,4,True,Manufactura,3899,15994,15.6
2023,4,True,Mineria,59,70,0.07
2023,4,True,Otros servicios,2056,15726,15.34
2023,4,True,Transp./Comunic.,844,13387,13.06
2024,4,True,Aloj./Restaurantes,1946,12121,4.96
2024,4,True,Comercio,3095,105185,43.03
2024,4,True,Construccion,703,18880,7.72
2024,4,True,Electricidad/Agua,277,1260,0.52
2024,4,True,Manufactura,3903,32160,13.16
2024,4,True,Otros servicios,2406,45836,18.75
2024,4,True,Transp./Comunic.,1055,28985,11.86
